"nb_article" "article_ref" "site_nb" "site_ref" "country" "state" "town" "latitude" "longitude" "altitude" "WRB" "prof_max" "sampling_year" "natural_cultivated" "landuse" "modern_paleosol" "ecosystem" "level_top" "level_base" "support" "D14C" "D14C_sigma" "level_stock_kgm.2" "Tann" "Tjan" "TJul" "Pann" "Pjan" "PJul" "aridity" "D14Catm"
"19" 1 "Shen_2001_Radiocarbon" 2 "Qingyunsi" "China" "Guangdong Province" "Zhaoqing" 23.17 112.535 190 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 60 70 "bulk after HCl" -277 "7" 1.53 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"20" 1 "Shen_2001_Radiocarbon" 2 "Qingyunsi" "China" "Guangdong Province" "Zhaoqing" 23.17 112.535 190 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 70 80 "bulk after HCl" -229 "7" 1.8 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"21" 1 "Shen_2001_Radiocarbon" 2 "Qingyunsi" "China" "Guangdong Province" "Zhaoqing" 23.17 112.535 190 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 80 100 "bulk after HCl" -280 "9" 2.44 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"22" 1 "Shen_2001_Radiocarbon" 2 "Qingyunsi" "China" "Guangdong Province" "Zhaoqing" 23.17 112.535 190 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 100 120 "bulk after HCl" -271 "7" 2.49 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"23" 1 "Shen_2001_Radiocarbon" 2 "Qingyunsi" "China" "Guangdong Province" "Zhaoqing" 23.17 112.535 190 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 120 140 "bulk after HCl" -477 "5" 1.91 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"24" 1 "Shen_2001_Radiocarbon" 2 "Qingyunsi" "China" "Guangdong Province" "Zhaoqing" 23.17 112.535 190 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 140 160 "bulk after HCl" -662 "5" 2.09 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"25" 1 "Shen_2001_Radiocarbon" 3 "Kengkou" "China" "Guangdong Province" "Zhaoqing" 23.1917 112.5614 42 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 10 20 "bulk after HCl" -51 "8" 1.62 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"26" 1 "Shen_2001_Radiocarbon" 3 "Kengkou" "China" "Guangdong Province" "Zhaoqing" 23.1917 112.5614 42 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 20 30 "bulk after HCl" -120 "8" 1.16 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"27" 1 "Shen_2001_Radiocarbon" 3 "Kengkou" "China" "Guangdong Province" "Zhaoqing" 23.1917 112.5614 42 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 30 40 "bulk after HCl" -183 "7" 0.93 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"28" 1 "Shen_2001_Radiocarbon" 3 "Kengkou" "China" "Guangdong Province" "Zhaoqing" 23.1917 112.5614 42 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 40 50 "bulk after HCl" -136 "8" 0.79 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"29" 1 "Shen_2001_Radiocarbon" 3 "Kengkou" "China" "Guangdong Province" "Zhaoqing" 23.1917 112.5614 42 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 50 70 "bulk after HCl" -168 "8" 1.44 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"30" 1 "Shen_2001_Radiocarbon" 3 "Kengkou" "China" "Guangdong Province" "Zhaoqing" 23.1917 112.5614 42 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 70 90 "bulk after HCl" -173 "7" 1.86 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"31" 1 "Shen_2001_Radiocarbon" 3 "Kengkou" "China" "Guangdong Province" "Zhaoqing" 23.1917 112.5614 42 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 90 110 "bulk after HCl" -195 "7" 1.5 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"32" 1 "Shen_2001_Radiocarbon" 3 "Kengkou" "China" "Guangdong Province" "Zhaoqing" 23.1917 112.5614 42 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 110 130 "bulk after HCl" -219 "7" 1.84 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"33" 1 "Shen_2001_Radiocarbon" 3 "Kengkou" "China" "Guangdong Province" "Zhaoqing" 23.1917 112.5614 42 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 130 150 "bulk after HCl" -305 "7" 1.89 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"34" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 0 2 "bulk after HCl" 85 NA 1.03 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"35" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 4 6 "bulk after HCl" 147 NA 0.77 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"36" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 8 10 "bulk after HCl" 136 NA 0.73 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
